SLAM_X,SLAM_Y,SLAM_Z,GPS_X,GPS_Y,GPS_Z
-0.02,-0.03,-0.85,5.38,3.88,-11.00
-0.03,-0.02,-0.85,5.38,3.88,-11.00
-0.01,-0.05,-0.86,5.38,3.88,-11.00
0.09,0.05,-0.84,5.38,3.88,-11.00
0.01,0.05,-0.85,5.38,3.88,-11.00
0.07,-0.05,-0.87,5.38,3.88,-11.00
0.05,0.02,-0.86,5.38,3.88,-11.00
0.06,-0.00,-0.86,5.38,3.88,-11.00
0.02,-0.01,-0.86,5.38,3.88,-11.00
0.06,-0.00,-0.86,5.38,3.88,-11.00
0.10,0.01,-0.86,5.39,3.88,-11.00
0.01,-0.10,-0.89,5.39,3.88,-11.00
0.10,-0.02,-0.87,5.42,3.81,-11.05
0.01,0.12,-0.84,5.42,3.81,-11.05
0.04,0.05,-0.87,5.42,3.81,-11.05
-0.01,0.08,-0.86,5.42,3.81,-11.05
-0.05,-0.03,-0.89,5.42,3.81,-11.05
-0.03,0.06,-0.88,5.42,3.81,-11.05
-0.02,0.06,-0.89,5.39,3.82,-11.06
-0.00,0.02,-0.91,5.39,3.82,-11.06
-0.05,-0.08,-0.96,5.39,3.82,-11.06
-0.06,-0.03,-0.97,5.39,3.82,-11.06
-0.00,0.02,-1.00,5.38,3.82,-11.06
0.03,0.09,-1.04,5.38,3.82,-11.06
0.02,-0.00,-1.11,5.38,3.82,-11.06
0.10,0.07,-1.12,5.36,3.83,-11.11
0.06,0.00,-1.17,5.36,3.83,-11.11
0.04,0.09,-1.17,5.36,3.83,-11.11
0.06,0.11,-1.21,5.36,3.83,-11.12
0.03,0.07,-1.25,5.36,3.83,-11.12
0.02,0.07,-1.30,5.36,3.83,-11.12
0.05,0.14,-1.30,5.36,3.83,-11.12
0.15,0.18,-1.30,5.40,3.85,-11.32
0.02,-0.07,-1.39,5.40,3.85,-11.32
-0.04,0.12,-1.37,5.40,3.85,-11.33
0.06,0.00,-1.42,5.40,3.85,-11.33
0.17,0.19,-1.39,5.40,3.85,-11.33
0.09,0.13,-1.45,5.40,3.85,-11.34
0.17,0.15,-1.49,5.40,3.85,-11.34
0.09,0.22,-1.52,5.42,3.88,-11.47
0.15,0.07,-1.60,5.42,3.88,-11.47
0.11,0.27,-1.58,5.42,3.88,-11.48
0.14,0.28,-1.62,5.42,3.88,-11.48
0.18,0.17,-1.65,5.42,3.88,-11.48
0.16,0.16,-1.69,5.42,3.88,-11.48
0.15,0.24,-1.71,5.43,3.87,-11.49
0.26,-0.03,-1.79,5.46,3.87,-11.72
0.19,0.08,-1.82,5.46,3.87,-11.73
0.27,0.14,-1.81,5.46,3.87,-11.73
0.21,0.14,-1.82,5.46,3.87,-11.74
-0.07,0.02,-1.88,5.46,3.87,-11.74
0.01,0.08,-1.87,5.46,3.87,-11.75
0.08,0.05,-1.90,5.46,3.87,-11.75
0.17,-0.05,-1.93,5.46,3.85,-11.96
0.09,0.15,-1.90,5.46,3.85,-11.97
0.17,0.11,-1.94,5.46,3.85,-11.97
0.12,0.15,-1.94,5.46,3.85,-11.97
0.27,0.08,-1.99,5.46,3.85,-11.97
0.24,0.08,-2.01,5.46,3.85,-11.98
0.28,0.05,-2.04,5.46,3.85,-11.98
-0.08,-0.06,-2.13,5.43,3.85,-12.10
0.20,0.15,-2.07,5.43,3.85,-12.10
-0.02,0.18,-2.12,5.42,3.85,-12.10
0.19,-0.07,-2.22,5.42,3.85,-12.10
-0.05,0.13,-2.22,5.42,3.85,-12.11
0.20,0.17,-2.31,5.42,3.85,-12.11
-0.03,-0.16,-2.46,5.42,3.85,-12.11
0.22,-0.03,-2.48,5.41,3.84,-12.30
0.23,0.13,-2.55,5.41,3.84,-12.31
0.21,0.06,-2.65,5.41,3.84,-12.31
0.13,-0.08,-2.78,5.41,3.84,-12.32
0.28,-0.11,-2.86,5.41,3.84,-12.32
-0.11,-0.21,-3.05,5.41,3.84,-12.33
0.29,0.02,-3.12,5.41,3.84,-12.34
0.28,-0.03,-3.26,5.38,3.83,-12.73
0.27,-0.03,-3.43,5.38,3.83,-12.74
0.30,-0.02,-3.54,5.38,3.83,-12.75
0.32,-0.02,-3.66,5.38,3.83,-12.76
0.32,0.01,-3.78,5.38,3.83,-12.76
0.35,-0.02,-3.88,5.38,3.83,-12.78
0.27,-0.05,-3.98,5.38,3.83,-12.79
0.36,0.08,-4.08,5.32,3.76,-13.38
0.27,-0.03,-4.20,5.32,3.76,-13.40
0.28,0.03,-4.29,5.32,3.76,-13.41
0.28,-0.00,-4.39,5.32,3.76,-13.42
0.32,0.02,-4.47,5.32,3.76,-13.42
0.38,0.05,-4.59,5.32,3.76,-13.43
0.39,0.05,-4.67,5.32,3.76,-13.44
0.28,0.04,-4.78,5.27,3.74,-13.94
0.28,0.19,-4.82,5.27,3.74,-13.95
0.38,0.16,-4.97,5.27,3.74,-13.96
0.42,0.23,-5.09,5.26,3.74,-13.96
0.41,0.11,-5.18,5.26,3.74,-13.97
0.38,0.23,-5.25,5.26,3.74,-13.99
0.47,0.20,-5.34,5.26,3.74,-13.99
0.52,0.26,-5.41,5.20,3.81,-14.39
0.57,0.21,-5.54,5.20,3.81,-14.40
0.59,0.23,-5.67,5.20,3.81,-14.41
0.62,0.32,-5.77,5.20,3.81,-14.41
0.65,0.31,-5.87,5.20,3.81,-14.42
0.70,0.28,-5.99,5.20,3.81,-14.43
0.71,0.31,-6.10,5.20,3.81,-14.43
0.72,0.34,-6.19,5.28,3.82,-14.89
0.74,0.30,-6.32,5.28,3.82,-14.90
0.72,0.38,-6.41,5.29,3.82,-14.91
0.83,0.32,-6.58,5.29,3.82,-14.92
0.77,0.43,-6.69,5.29,3.82,-14.92
0.83,0.35,-6.82,5.29,3.82,-14.93
0.76,0.44,-6.92,5.29,3.82,-14.94
0.85,0.44,-7.09,5.32,3.80,-15.47
0.92,0.51,-7.19,5.32,3.79,-15.49
0.83,0.48,-7.33,5.32,3.79,-15.50
0.90,0.51,-7.52,5.32,3.79,-15.50
1.05,0.45,-7.58,5.32,3.79,-15.51
1.04,0.45,-7.73,5.32,3.79,-15.52
1.10,0.47,-7.87,5.32,3.79,-15.53
1.13,0.48,-8.02,5.34,3.80,-16.26
1.14,0.53,-8.16,5.34,3.80,-16.28
1.21,0.57,-8.27,5.34,3.80,-16.29
1.15,0.61,-8.41,5.35,3.80,-16.31
1.24,0.60,-8.51,5.35,3.80,-16.32
1.22,0.65,-8.63,5.35,3.80,-16.33
1.23,0.70,-8.82,5.35,3.80,-16.34
1.24,0.75,-8.94,5.41,3.86,-16.98
1.29,0.74,-9.10,5.41,3.86,-16.99
1.33,0.78,-9.23,5.41,3.86,-17.01
1.34,0.88,-9.42,5.41,3.86,-17.01
1.37,0.78,-9.65,5.41,3.86,-17.02
1.49,0.75,-9.84,5.41,3.86,-17.03
1.56,0.75,-10.11,5.41,3.87,-17.04
1.53,0.72,-10.27,5.41,3.87,-17.04
1.54,0.81,-10.44,5.43,3.92,-17.76
1.56,0.82,-10.61,5.43,3.92,-17.78
1.58,0.82,-10.71,5.43,3.92,-17.79
1.61,0.90,-10.88,5.43,3.92,-17.80
1.70,0.88,-11.19,5.43,3.92,-17.81
1.66,0.93,-11.34,5.43,3.92,-17.83
1.67,0.91,-11.61,5.43,3.92,-18.84
1.73,0.89,-11.86,5.43,3.93,-18.85
1.75,0.90,-12.04,5.43,3.93,-18.87
1.78,0.94,-12.07,5.43,3.93,-18.88
1.78,1.06,-12.34,5.43,3.93,-18.89
1.79,1.03,-12.67,5.43,3.93,-18.90
1.75,1.07,-12.90,5.43,3.93,-18.92
1.83,1.13,-13.00,5.48,3.93,-20.01
1.88,1.19,-13.23,5.48,3.93,-20.03
1.91,1.23,-13.32,5.48,3.93,-20.04
1.98,1.15,-13.50,5.48,3.93,-20.05
1.94,1.20,-13.72,5.48,3.93,-20.07
2.05,1.18,-13.97,5.48,3.93,-20.08
2.03,1.29,-14.22,5.48,3.93,-20.10
2.13,1.26,-14.45,5.46,3.95,-21.06
2.13,1.39,-14.70,5.46,3.95,-21.07
2.11,1.39,-14.91,5.46,3.95,-21.09
2.19,1.38,-15.08,5.46,3.95,-21.10
2.18,1.43,-15.26,5.46,3.95,-21.11
2.36,1.36,-15.48,5.46,3.95,-21.13
2.38,1.38,-15.68,5.46,3.95,-21.15
2.38,1.49,-15.89,5.42,3.95,-22.22
2.44,1.41,-16.11,5.41,3.95,-22.25
2.45,1.45,-16.47,5.41,3.95,-22.26
2.53,1.52,-16.64,5.41,3.95,-22.27
2.53,1.58,-16.87,5.41,3.95,-22.28
2.63,1.49,-17.11,5.41,3.95,-22.31
2.67,1.52,-17.31,5.41,3.95,-22.32
2.75,1.68,-17.49,5.37,3.85,-23.40
2.72,1.80,-17.77,5.37,3.85,-23.43
2.75,1.86,-18.03,5.37,3.85,-23.45
2.76,1.78,-18.19,5.37,3.85,-23.46
2.88,1.95,-18.34,5.37,3.85,-23.47
2.90,1.94,-18.74,5.37,3.84,-23.49
2.93,2.05,-18.92,5.37,3.84,-23.50
3.00,2.06,-18.97,5.33,3.76,-24.64
2.98,2.14,-19.34,5.32,3.76,-24.66
3.26,2.08,-19.42,5.32,3.76,-24.67
3.35,2.14,-19.69,5.32,3.76,-24.69
3.38,2.09,-19.92,5.32,3.76,-24.71
3.39,2.15,-20.07,5.32,3.76,-24.71
3.36,2.32,-20.27,5.32,3.75,-24.73
3.52,2.42,-20.43,5.29,3.77,-25.81
3.64,2.24,-20.61,5.29,3.77,-25.83
3.58,2.29,-20.85,5.29,3.77,-25.84
3.71,2.22,-20.98,5.29,3.77,-25.85
3.67,2.35,-21.14,5.29,3.78,-25.86
3.72,2.49,-21.36,5.29,3.78,-25.88
3.75,2.40,-21.54,5.29,3.78,-25.89
3.86,2.33,-21.70,5.31,3.84,-26.79
3.85,2.24,-21.86,5.31,3.84,-26.80
3.83,2.19,-21.96,5.31,3.84,-26.81
3.82,2.29,-22.16,5.31,3.84,-26.82
3.93,2.38,-22.24,5.31,3.84,-26.83
4.06,2.23,-22.26,5.31,3.84,-26.85
4.05,2.30,-22.34,5.31,3.84,-26.86
3.97,2.41,-22.44,5.35,3.77,-27.67
3.87,2.35,-22.48,5.36,3.77,-27.68
3.98,2.18,-22.45,5.36,3.77,-27.68
3.98,2.27,-22.52,5.36,3.77,-27.69
3.99,2.37,-22.56,5.36,3.77,-27.70
3.93,2.42,-22.54,5.36,3.77,-27.70
4.04,2.35,-22.49,5.36,3.77,-27.71
4.07,2.44,-22.56,5.36,3.83,-28.00
4.00,2.38,-22.59,5.36,3.83,-28.00
4.08,2.33,-22.53,5.36,3.83,-28.00
4.27,2.54,-22.51,5.36,3.83,-28.00
4.03,2.38,-22.57,5.36,3.83,-28.00
3.93,2.30,-22.54,5.36,3.83,-28.00
3.98,2.45,-22.53,5.36,3.84,-28.00
4.00,2.25,-22.47,5.38,3.89,-28.03
4.15,2.47,-22.56,5.38,3.89,-28.03
4.16,2.33,-22.55,5.38,3.89,-28.03
4.10,2.27,-22.45,5.38,3.89,-28.03
4.12,2.21,-22.48,5.38,3.89,-28.04
4.11,2.50,-22.57,5.38,3.89,-28.04
4.03,2.42,-22.56,5.38,3.89,-28.04
4.12,2.19,-22.44,5.37,3.89,-28.09
3.97,2.22,-22.49,5.36,3.89,-28.09
3.99,2.34,-22.53,5.36,3.89,-28.09
4.15,2.31,-22.53,5.36,3.89,-28.09
3.85,2.34,-22.57,5.36,3.89,-28.09
4.03,2.16,-22.44,5.36,3.89,-28.09
4.03,2.30,-22.50,5.36,3.89,-28.10
4.15,2.25,-22.44,5.37,3.85,-28.11
4.06,2.27,-22.47,5.37,3.85,-28.10
4.01,2.22,-22.41,5.37,3.85,-28.10
3.97,2.16,-22.43,5.37,3.84,-28.10
4.14,2.39,-22.49,5.37,3.84,-28.10
4.04,2.16,-22.44,5.37,3.84,-28.10
4.01,2.22,-22.45,5.37,3.84,-28.10
3.93,2.14,-22.43,5.40,3.82,-28.05
3.86,2.42,-22.49,5.40,3.82,-28.05
3.87,2.13,-22.46,5.40,3.82,-28.05
4.04,1.89,-22.45,5.40,3.82,-28.05
4.11,2.08,-22.47,5.41,3.82,-28.05
3.79,1.96,-22.47,5.41,3.82,-28.05
4.07,2.00,-22.50,5.41,3.82,-28.05
4.02,2.27,-22.48,5.42,3.77,-28.08
3.89,2.07,-22.42,5.42,3.77,-28.09
3.90,1.98,-22.39,5.42,3.77,-28.09
3.80,1.96,-22.34,5.42,3.77,-28.09
3.88,2.07,-22.27,5.42,3.77,-28.09
4.12,2.64,-22.30,5.42,3.77,-28.09
4.01,2.11,-22.12,5.41,3.76,-28.14
3.95,2.17,-22.03,5.41,3.77,-28.13
3.99,2.25,-22.03,5.42,3.77,-28.13
3.88,2.11,-21.97,5.41,3.77,-28.13
4.05,2.38,-21.96,5.41,3.77,-28.13
4.09,2.32,-21.97,5.42,3.78,-28.13
3.98,2.37,-21.93,5.42,3.78,-28.13
3.98,2.24,-21.87,5.57,3.98,-28.03
4.08,2.42,-21.88,5.57,3.98,-28.03
4.46,2.96,-22.06,5.57,3.98,-28.03
4.11,2.23,-21.79,5.57,3.98,-28.03
4.01,2.24,-21.75,5.57,3.98,-28.03
4.35,2.55,-21.91,5.57,3.99,-28.03
4.16,2.36,-21.82,5.58,3.99,-28.03
4.24,2.72,-21.90,5.72,4.15,-28.09
4.33,2.74,-21.85,5.72,4.15,-28.10
4.13,2.40,-21.78,5.72,4.15,-28.10
3.98,2.24,-21.61,5.72,4.15,-28.10
4.25,2.47,-21.75,5.72,4.15,-28.10
4.18,2.41,-21.69,5.72,4.15,-28.10
4.10,2.57,-21.67,5.72,4.16,-28.10
4.01,2.20,-21.58,5.75,4.22,-28.07
4.15,2.43,-21.68,5.76,4.23,-28.07
4.24,2.30,-21.63,5.75,4.23,-28.07
4.26,2.44,-21.61,5.76,4.23,-28.07
4.53,2.34,-21.68,5.76,4.23,-28.07
4.10,2.38,-21.67,5.76,4.23,-28.07
4.54,2.55,-21.76,5.76,4.23,-28.06
3.94,2.11,-21.49,5.83,4.13,-28.11
4.78,2.59,-21.74,5.84,4.13,-28.11
4.26,2.32,-21.54,5.84,4.13,-28.11
4.79,2.31,-21.70,5.84,4.12,-28.11
4.57,2.01,-21.55,5.85,4.12,-28.11
4.94,2.37,-21.68,5.85,4.12,-28.11
4.40,1.95,-21.43,5.85,4.11,-28.11
4.88,2.34,-21.59,6.09,3.87,-28.09
5.06,2.27,-21.64,6.09,3.86,-28.09
5.20,2.17,-21.63,6.10,3.86,-28.09
5.50,2.16,-21.57,6.10,3.86,-28.09
4.38,1.78,-21.40,6.10,3.85,-28.09
4.86,1.62,-21.32,6.10,3.85,-28.09
4.33,1.79,-21.27,6.11,3.85,-28.09
